LIFEFORM,FAMILY,GENUS,SPECIES,sp,SP6,sum_part1,sum_part2,sum_part5,n_years,n_traps,total_seeds_sum,proportion_abscised_median,proportion_abscised_mean
TREE,Euphorbiacea,Drypetes,standleyi,DRYS,DRYPST,576,902,2268,28,106,3740,0.488782051,0.484818777
MIDSTORY,Meliaceae,Guarea,guidonia,GUA2,GUARGU,189,2652,925,33,204,3670,0.251992442,0.332677959
LIANA,Polygonaceae,Coccoloba,parimensis,COCP,COCCP1,832,1233,1457,27,188,3481,0.299711816,0.329287672
TREE,Myristicacea,Virola,surinamensis,VIR2,VIROSU,502,1461,1487,33,223,3450,0.397435897,0.418369474
LIANA,Bignoniaceae,Tynnanthus,croatianus,TYNC,TYNNCR,343,4566,225,31,161,3381,0.075697211,0.207699199
MIDSTORY,Annonaceae,Unonopsis,pittieri,UNOP,UNONPI,1058,225,2027,33,74,3297,0.604938272,0.565298331
TREE,Myristicacea,Virola,sebifera,VIR1,VIROSE,952,1112,1245,33,192,3262,0.271498418,0.320161317
UNDERSTORY,Myrtaceae,Eugenia,oerstediana,EUGO,EUGEOE,640,2322,517,32,252,3233,0.156862745,0.194437094
TREE,Fabaceae:Pap,Platypodium,elegans,PLAE,PLA2EL,729,11,2530,32,88,3218,0.764705882,0.637739974
UNDERSTORY,Rubiaceae,Coussarea,curvigemmia,COUC,COU2CU,604,982,1561,31,157,3125,0.413173653,0.404158028
LIANA,Dilleniaceae,Doliocarpus,multiflorus,DOL2,DOLIMU,995,901,1196,28,98,3055,0.516666667,0.479866684
